,0
person,18.193695608993497
water,16.43082529749286
photo,14.668864994368793
landform,14.15569463821348
flora,13.856892757321182
color,13.311216192454543
fauna,12.829741845885206
sky,12.798964283483532
object,11.37625885961634
architecture,11.309598390440216
story,10.970539416192743
follow,10.819149420776167
world,10.080157431124505
year,7.765977561698175
new,7.004754296277165
see,6.784434502487386
image,6.736373693837852
nat,6.631046686508949
geo,6.631046686508949
check,6.074013844153357
day,5.850014474730191
link,5.7655846971110485
bio,5.7655846971110485
time,5.749500289016706
home,5.429611027637103
life,5.427118349665988
many,5.406926230801564
part,5.294732692974076
species,5.205296243715392
place,5.1741116066216675
it,5.091575085908676
technology,5.056616860051461
march,4.986158164910372
work,4.968294903450565
national,4.896652670687557
india,4.887865398403426
august,4.699131007703657
long,4.608243656024807
democracy,4.596755433113897
still,4.258477648660973
ve,4.191120051835741
first,4.163398742474834
project,4.119798476192197
way,4.11586275553838
american,4.052941834922509
washington,3.9588519423156776
woman,3.8694289133223068
learn,3.8673901854739485
also,3.8575853111264378
make,3.803318947080211
school,3.7839147244480906
paoloverzone,3.7672310789844246
state,3.7017395945174276
country,3.6499650109770125
acros,3.6402361107518644
election,3.6261077389592518
family,3.4923411638844133
cave,3.4908628576393697
area,3.4894230742408574
need,3.43419854079828
earth,3.4040836330562736
thousand,3.386942937211405
take,3.3849353148897072
beautiful,3.3786241300688147
wild,3.3386272000088373
land,3.31757987666609
ladzinski,3.2935381162958155
alaska,3.284697827859841
found,3.2650646724039785
natgeo,3.2598792164211945
right,3.255500288347152
back,3.2410497062830035
big,3.2354707795160644
people,3.2119930159911636
stories,3.2105197459367085
moment,3.2071431363140572
small,3.204621626378983
town,3.189369695385083
today,3.1645713655427556
dina_litovsky,3.14776053668147
last,3.067464970675519
york,3.035515857938604
amivitale,2.993416680776382
years,2.975313640575848
divide,2.9487808889172844
week,2.9313256092852606
nataliekeyssar,2.909438391008577
mmuheisen,2.905864988241392
giraffe,2.901619113261882
erintrieb,2.8883535295818983
get,2.878577316127967
and,2.8450420039236075
ago,2.8439465069216556
flamingo,2.8416113077213345
here,2.8415971048391304
california,2.840781514909171
america,2.8312177533523193
conservation,2.8190494731524467
working,2.816661397476885
covid,2.7981868993133174
mile,2.797624301235057
island,2.781574262325901
series,2.768915100980302
planet,2.7638269462814993
refugee,2.761057433909454
student,2.747835846474883
issue,2.7376117018866464
arctic,2.7279834330966257
foot,2.7197707087525513
end,2.6991410763814283
old,2.678334151918935
19,2.6743415765525222
tamaramerino_photography,2.6631795803529252
left,2.636898514978866
please,2.6364798346030125
thing,2.631696726213371
north,2.6153355838567185
month,2.6124111108751515
well,2.6090046021861233
jimmychin,2.596346122449239
anniversary,2.5942061469767976
more,2.5938132829509373
say,2.586962479880788
kenya,2.5825147386383436
help,2.582391426499935
live,2.5631721985647054
them,2.5365780365239683
pandemic,2.534299440952116
pedromcbride,2.523150852992256
population,2.505408541126796
experience,2.4837642637955777
meter,2.47915461106232
job,2.475086901076296
climate,2.465048884772587
even,2.441201687385275
babaktafreshi,2.4350126071599054
michaelchristopherbrown,2.433784060471044
justice,2.4113451865114044
samsungmobileusa,2.4042126601399367
came,2.3981097685262394
living,2.3801686686687886
child,2.3632761877536574
worker,2.3604377064203392
yadav,2.3542228788417194
southern,2.3507390225966094
share,2.344524287753608
polouse,2.3164640029802523
women,2.312448571783798
change,2.296248955886101
dinosaur,2.290700295077478
african,2.290554354980577
love,2.2876594248253306
vote,2.2868841973173386
the,2.2860789390584895
important,2.282654302628108
view,2.2808060219837065
joelsartore,2.2762565205614
early,2.260591472763091
high,2.251213508463823
museum,2.246989597355195
united,2.245797644180867
freedom,2.2404785156166667
unique,2.2308355372103597
wildfire,2.227891568685107
that,2.2245969803574694
we,2.2240630614786983
commitment,2.2217548576841586
hour,2.214141162026467
visit,2.2086342414746793
support,2.2008535923580763
great,2.183789508105082
geographic,2.1762759254810278
protect,2.1753560736447617
leopard,2.1719824841905493
young,2.1510652441872797
much,2.1375788227909562
event,2.1372780645505913
camp,2.1320420265901836
underground,2.1313655533413796
community,2.123751501013586
central,2.1225430633928646
use,2.118419439930383
due,2.110661096605114
geosteinmetz,2.1092128484097485
come,2.108530872814114
summer,2.1075737524786766
said,2.1049006561452983
past,2.1038334926458577
system,2.096521312935362
camera,2.0952512856607255
lucalocatelliphoto,2.091228533234441
county,2.0750182967672166
culture,2.0675252677302045
re,2.0665864891823107
spent,2.0663529065066295
especially,2.0482181315101733
florida,2.036483334204337
temperature,2.0276738175636604
man,2.0130206526187577
village,2.012664306288521
often,2.0098300266523834
mother,2.001460191563817
video,1.9971048437354313
northern,1.9862534122142583
cultural,1.9843138261017033
ever,1.9810012042158776
valley,1.9771974631504234
social,1.9678846697815988
center,1.9662945110646093
explore,1.9616968166335618
iraq,1.9545053842920452
october,1.9439639681511247
estherhorvath,1.925365084914731
heat,1.9220627297111097
full,1.9177025140801711
never,1.9141461816402705
street,1.9139356849329046
andreabruce,1.9127059312155539
china,1.9092004037206216
find,1.9080007676473634
journey,1.9018823548076913
know,1.8986429116401888
paulnicklen,1.8918502057381632
alway,1.8914326014062066
future,1.8911576250446327
shone,1.8907983559833985
shonephoto,1.8907983559833985
robbie,1.8907983559833985
creek,1.8899892897754293
power,1.884663445340752
states,1.8829416361573796
montana,1.8823040729315568
me,1.878375697271115
together,1.8761894439809703
number,1.869423583945791
willow,1.869309250895374
play,1.8684043704935416
different,1.863196471025555
september,1.8627270975611063
david,1.8607486975921383
robeson,1.8588463466538956
region,1.849083651703069
